Question Number,Question Type,Question Text,Question Image File,Option A,Option B,Option C,Option D,Option E,Option F,Options Image Files,Correct Answer,Explanation A,Explanation B,Explanation C,Explanation D,Explanation E,Explanation F
3.5,MCQ,"The scanner now classifies items into K specific categories (e.g., Electronics, Liquids, Sharp Objects). You examine the K-class confusion matrix [nij ]. Which statements are correct?",,"For class Ωκ, recallκ uses the row sum (total true instances of that item) in its denominator.","For class Ωκ, precisionκ uses the row sum in its denominator.","UAR is a weighted average of per-class recalls, where each class is weighted by its sample count.","If every entry in the matrix nij is doubled, the Recognition Rate (RR) changes because N has changed.","If you swap the roles of reference and hypothesis, the Recognition Rate stays unchanged.","If you swap the roles of reference and hypothesis, the roles of recallκ and precisionκ are exchanged.",,"A, E, F","Explanation: **Correct** - For class k, recall uses the row sum (total true instances of class k): [[MATH]]recall_k = n_kk / Σ_j n_kj[[/MATH]].

Basic explanation (HS level): Recall for a class looks at that class's row in the confusion matrix.","Explanation: **Incorrect** - Precision uses column sum (items predicted as that class): [[MATH]]precision_k = n_kk / Σ_i n_ik[[/MATH]], NOT row sum.

Basic explanation (HS level): Precision for a class looks at that class's column in the confusion matrix.","Explanation: **Incorrect** - UAR (Unweighted Average Recall) is NOT weighted by sample count. It's simply: [[MATH]]UAR = (1/K) Σ recall_k[[/MATH]].

Basic explanation (HS level): UAR treats each class equally (unweighted). WAR (weighted) would use class counts.","Explanation: **Incorrect** - If all entries are doubled, [[MATH]]RR = (Σ n_ii)/(Σ n_ij) = (2·Σ n_ii)/(2·Σ n_ij) = unchanged[[/MATH]]. The scaling cancels.

Basic explanation (HS level): Recognition rate is a proportion, so scaling all entries equally doesn't change it.","Explanation: **Correct** - [[MATH]]RR = (Σ correct predictions)/(total)[[/MATH]] is symmetric. Swapping reference/hypothesis doesn't change which diagonal elements are correct.

Basic explanation (HS level): Recognition rate counts correct predictions on diagonal - doesn't matter which direction.","Explanation: **Correct** - Recall looks at rows, precision looks at columns. Swapping reference↔hypothesis swaps rows↔columns, exchanging recall and precision.

Basic explanation (HS level): When you swap which axis is reference vs hypothesis, row and column swap, so recall and precision exchange."
4.1,MCQ,"To begin your pipeline, you consider using rank-reduced LDA for dimensionality reduction. Which of the following statements are correct regarding this method?",,The method selects projection directions that maximize separation between class centroids.,The PCA step primarily reduces within-class variance by removing low-variance directions inside each class.,The method constructs a lower-dimensional discriminative subspace that preserves directions most relevant for class separability.,Rank-Reduced LDA can achieve higher classification accuracy than PCA even when PCA retains more variance.,The method selects directions that maximize overall variance.,,,"A, C, D","Explanation: **Correct** - Rank-reduced LDA maximizes between-class scatter (separation of centroids) relative to within-class scatter.

Basic explanation (HS level): LDA picks directions that push class means apart while keeping each class tight.","Explanation: **Incorrect** - The PCA step in LDA (whitening/sphering) reduces overall variance, not specifically within-class variance.

Basic explanation (HS level): PCA in LDA preprocessing is just for numerical stability, not targeting within-class variance.","Explanation: **Correct** - This is exactly what LDA does: creates a lower-dimensional space optimized for class separability.

Basic explanation (HS level): LDA is designed to preserve directions that best separate your classes.","Explanation: **Correct** - LDA can outperform PCA in classification even when PCA retains more of the total variance, because LDA targets separability not variance.

Basic explanation (HS level): More variance doesn't mean better for classification. LDA optimizes the right thing.","Explanation: **Incorrect** - LDA does NOT maximize overall variance. PCA does. LDA maximizes discriminative power (between/within class separation).

Basic explanation (HS level): LDA ignores overall variance and focuses only on what helps classify.",
4.2,MCQ,Your colleague suggests using standard PCA instead of LDA to differentiate the tissue types. Which of the following statements about PCA and LDA are correct in this context?,,PCA is supervised and thus naturally identifies tissue categories.,LDA uses class labels (tissue types) to guide the transformation.,PCA maximizes class separability by default.,LDA maximizes between-class variance relative to within-class variance.,PCA guarantees optimal classification for your diagnostic tool.,,,"B, D","Explanation: **Incorrect** - PCA is unsupervised (doesn't use labels). It just finds high-variance directions regardless of class.

Basic explanation (HS level): PCA doesn't know anything about tissue types - it just finds the most variable directions.","Explanation: **Correct** - LDA is supervised and explicitly uses tissue type labels to guide the transformation toward class separability.

Basic explanation (HS level): LDA uses the class labels to optimize separation.","Explanation: **Incorrect** - PCA maximizes variance, NOT class separability. High-variance directions might not separate classes well.

Basic explanation (HS level): The most variable direction might run parallel to a class boundary, not separating classes.","Explanation: **Correct** - This is the definition of LDA: maximize the ratio of between-class to within-class variance.

Basic explanation (HS level): LDA's objective is to maximize this separation ratio.","Explanation: **Incorrect** - PCA does not guarantee optimal classification. It only preserves variance, which may not separate classes.

Basic explanation (HS level): PCA is dimensionality reduction, not classification optimization.",
4.3,MCQ,"To handle the varying scales of different biopsy markers, you apply the LDA sphering transform: [[MATH]]ϕ(x) = D−1/2U Tx[[/MATH]] This step is designed primarily to achieve which of the following?",,Transform class-conditional covariance matrices so that all classes share the identity covariance matrix.,Remove correlations among features to simplify distance-based classification.,Maximize between-class scatter relative to within-class scatter.,Guarantee dimensionality reduction without losing discriminative information.,Ensure class means become orthogonal in transformed space.,,,"A, B","Explanation: **Correct** - The sphering transform decorrelates and rescales so all classes have the identity covariance I in the transformed space.

Basic explanation (HS level): After sphering, each class has [[MATH]]covariance = identity matrix[[/MATH]] (uncorrelated, unit variance).","Explanation: **Correct** - Sphering removes correlations (diagonalizes covariance) and normalizes scales, simplifying distance-based decisions.

Basic explanation (HS level): Decorrelated features make Euclidean distance meaningful.","Explanation: **Incorrect** - Sphering is preprocessing; it doesn't maximize between/within-class scatter. LDA does that.

Basic explanation (HS level): Sphering just prepares the data; LDA uses sphered data to maximize separability.","Explanation: **Incorrect** - Sphering alone doesn't guarantee dimensionality reduction. The actual reduction comes from selecting top LDA components.

Basic explanation (HS level): Sphering maintains dimensionality; dimension selection happens separately.","Explanation: **Incorrect** - Sphering does not make class means orthogonal. It orthogonalizes features within each class.

Basic explanation (HS level): Sphering affects feature correlation, not the geometric relationship between class means.",
4.4,MCQ,"When choosing a distance metric to determine the final tissue diagnosis, which of the following geometric interpretations are correct?",,The Mahalanobis distance can be interpreted as measuring Euclidean distance in a transformed space where feature correlations and unequal variances have been normalized.,"Projecting data onto directions of maximum variance (PCA) always improves classification, because higher-variance directions contain more discriminative information.","If all class-conditional covariance matrices and class prior probabilities are identical, the Bayes-optimal Gaussian classifier reduces to a nearest-mean decision rule under the Mahalanobis distance.","If all class-conditional covariance matrices and class prior probabilities are identical, the Bayes-optimal Gaussian classifier reduces to a nearest-mean decision rule under the Euclidean distance.","High-variance directions selected by PCA can capture within-class variation instead of class separation, which may lead to greater overlap between classes after projection.",,,"A, C, E","Explanation: **Correct** - Mahalanobis distance accounts for correlation and variance by transforming to a space where Euclidean distance works properly.

Basic explanation (HS level): [[MATH]]Mahalanobis = Euclidean[[/MATH]] after deforming the space to handle correlations and different variances.","Explanation: **Incorrect** - PCA preserves high variance but doesn't guarantee classification improvement. High-variance directions may not separate classes.

Basic explanation (HS level): Variance-preserving isn't classification-optimal. Within-class variation counts too.","Explanation: **Correct** - If covariances and priors are identical for all classes, Bayes classifier reduces to nearest-mean with Mahalanobis distance.

Basic explanation (HS level): When classes are equally distributed, you just pick the closest class center using Mahalanobis distance.","Explanation: **Incorrect** - With Euclidean distance instead, the decision rule would be different. Euclidean works when covariance is proportional to identity.

Basic explanation (HS level): Euclidean is a special case of Mahalanobis when [[MATH]]covariance = I[[/MATH]].","Explanation: **Correct** - PCA's high-variance directions can capture within-class variation rather than class separation, leading to worse classification.

Basic explanation (HS level): A high-variance direction perpendicular to class separation is bad for classification.",
4.5,MCQ,"Finally, you evaluate the full LDA model with a shared covariance Σ and the sphered transform ϕ(x). Which of the following technical details are correct for your final implementation?",,"After applying ϕ, all classes share the identity covariance matrix. In this space, the LDA decision rule with equal priors is equivalent to nearest-centroid classification using L1 distance.",The sphering transform ϕ inherently performs rank reduction from Rd to RK−1 because the between- class scatter matrix has rank at most K −1.,"In rank-reduced LDA, the projection matrix Φ is obtained by solving a generalized eigenvalue problem and the resulting discriminant subspace has dimension at most K −1, regardless of the original feature dimension d.","After sphering the data, the LDA decision rule involves squared Euclidean distances and therefore yields quadratic decision boundaries in the transformed feature space.","The Fisher Transform viewpoint shows that maximizing the Rayleigh quotient [[MATH]]J(r) = r⊤SBr r⊤SW r[[/MATH]] leads to the same linear boundaries as LDA. For the two-class case, the optimal direction satisfies [[MATH]]r∗∝ S −1 W (µ1 −µ2)[[/MATH]].",,,"C, E","Explanation: **Incorrect** - After sphering all classes share identity covariance, so nearest-centroid uses Euclidean distance (L2), not L1 distance.

Basic explanation (HS level): With identity covariance, Euclidean (L2) distance is optimal, not Manhattan (L1).","Explanation: **Correct** - The between-class scatter matrix has rank at most K-1 (K classes), so the sphered LDA subspace is at most (K-1)-dimensional.

Basic explanation (HS level): With K classes, you can have at most K-1 independent directions to distinguish them.","Explanation: **Correct** - Rank-reduced LDA projects from R^d to R^(K-1), creating a (K-1)-dimensional discriminant subspace regardless of original dimensionality d.

Basic explanation (HS level): LDA always reduces to at most K-1 dimensions for K classes, no matter how many original features.","Explanation: **Incorrect** - After sphering, LDA decision boundaries are linear (not quadratic) in the transformed space because covariances are identical.

Basic explanation (HS level): Same covariance = linear boundaries. Quadratic would require different covariances.","Explanation: **Correct** - Fisher criterion (maximizing Rayleigh quotient) yields the same LDA directions. For 2-class case, optimum: [[MATH]]r* ∝ S_W^{-1}(μ_1-μ_2)[[/MATH]].

Basic explanation (HS level): Fisher formulation gives the same solution as LDA's eigenvalue approach.",
5.1.1,MCQ,1. Step 1: Standard Form. Optimization literature typically defines the Lagrangian for inequality constraints in the form [[MATH]]f_i(x) \le 0[[/MATH]]. Which inequality represents the constraint [[MATH]]f_1(x) = x_1 + x_2 \ge 4[[/MATH]] in this standard form?,,"[[MATH]]x_1 + x_2 - 4 \le 0[[/MATH]]","[[MATH]]4 - x_1 - x_2 \le 0[[/MATH]]","[[MATH]]x_1 + x_2 - 4 = 0[[/MATH]]","[[MATH]]-(x_1 + x_2) \le -4[[/MATH]]","[[MATH]]x_1 \ge 4 - x_2[[/MATH]]",,,B,"Explanation: **Incorrect** - Standard form requires [[MATH]]f(x) \le 0[[/MATH]]. [[MATH]]x_1 + x_2 \ge 4[[/MATH]] becomes [[MATH]]-(x_1+x_2) \le -4[[/MATH]] or [[MATH]]4-x_1-x_2 \le 0[[/MATH]], not [[MATH]]x_1+x_2-4 \le 0[[/MATH]].

Basic explanation (HS level): Flip both sides: multiply by -1 to get ≤ 0 form.","Explanation: **Correct** - 4 - x1 - x2 ≤ 0 is equivalent to x1 + x2 ≥ 4 (standard inequality form for Lagrangian).

Basic explanation (HS level): This is the standard form used in optimization literature.","Explanation: **Incorrect** - Equality constraints use different form. The question asks for inequality in standard form.

Basic explanation (HS level): Equality is for Lagrange multipliers, not needed here.","Explanation: **Incorrect** - -(x1+x2) ≤ -4 is equivalent but not typically written this way. 4-x1-x2 ≤ 0 is cleaner.

Basic explanation (HS level): While mathematically equivalent, the form in option B is preferred.","Explanation: **Incorrect** - This is not in standard inequality form. It's still an inequality but not f(x) ≤ 0.

Basic explanation (HS level): Not the standard form for Lagrangian.",
5.1.2,MCQ,"2. Step 2: The Lagrangian. Based on the standard form [[MATH]]f_1(x) \le 0[[/MATH]] identified above, what is the correct Lagrangian function [[MATH]]L(x, \lambda)[[/MATH]]?",,"[[MATH]]L(x, \lambda) = \tfrac{1}{2}(x_1^2 + x_2^2) - \lambda(x_1 + x_2 - 4)[[/MATH]]","[[MATH]]L(x, \lambda) = \tfrac{1}{2}(x_1^2 + x_2^2) + \lambda(4 - x_1 - x_2)[[/MATH]]","[[MATH]]L(x, \lambda) = (x_1^2 + x_2^2) + \lambda(4 - x_1 - x_2)[[/MATH]]","[[MATH]]L(x, \lambda) = \tfrac{1}{2}(x_1^2 + x_2^2) + \lambda(x_1 + x_2 - 4)^2[[/MATH]]","[[MATH]]L(x, \lambda) = \tfrac{1}{2}(x_1^2 + x_2^2) + \sum_{i=1}^{2}\lambda_i(4 - x_i)[[/MATH]]",,,B,"Explanation: **Incorrect** - The Lagrangian should be [[MATH]]L(x,\lambda) = \tfrac{1}{2}(x_1^2+x_2^2) - \lambda(x_1+x_2-4)[[/MATH]] with minus sign for ≥ constraint.

Basic explanation (HS level): Standard Lagrangian with constraint in form 4-x1-x2 ≤ 0 becomes L = f(x) - λ(constraint).","Explanation: **Correct** - L(x,λ) = (1/2)(x1²+x2²) + λ(4-x1-x2). With f1(x)=4-x1-x2 ≤ 0, we add λ·f1(x).

Basic explanation (HS level): Lagrangian = objective + λ×constraint (when constraint ≤ 0).","Explanation: **Incorrect** - Missing the 1/2 factor on the objective term. Should be (1/2)(objective), not full.

Basic explanation (HS level): The original objective has 1/2, which must be preserved.","Explanation: **Incorrect** - The constraint term is not squared. Lagrangian is linear in constraints, not quadratic.

Basic explanation (HS level): Lagrangian adds constraints linearly, not squared.","Explanation: **Incorrect** - Should be λ(4-x1-x2), not sum of separate λ_i. Single constraint means single λ.

Basic explanation (HS level): Only one constraint, so only one multiplier λ.",
5.1.3,MCQ,"3. Step 3: Minimization w.r.t Primal Variables. To calculate the dual function [[MATH]]g(λ) = infx L(x, λ)[[/MATH]], we minimize L with respect to x by setting the gradient [[MATH]]∇xL[[/MATH]] to zero. What is the resulting relationship between x and λ?",,"[[MATH]]x1 = 0, x2 = 0[[/MATH]]","[[MATH]]x1 = −λ, x2 = −λ[[/MATH]]","[[MATH]]x1 = λ, x2 = λ[[/MATH]]",[[MATH]]x1 = 4 −x2[[/MATH]],[[MATH]]∇xL = 2x −λ = 0 =⇒x = λ/2[[/MATH]],,,C,"Explanation: **Incorrect** - [[MATH]]∇_x L = x[[/MATH]] (not 0) because L involves x². Setting gradient to zero gives [[MATH]]x ≠ 0[[/MATH]].

Basic explanation (HS level): The objective x1²+x2² has nonzero gradient unless x=0.","Explanation: **Incorrect** - ∇_x L = [2x1-λ, 2x2-λ]. Setting to zero: 2x1=λ, 2x2=λ means x1=x2=λ/2 (not -λ).

Basic explanation (HS level): Dividing by 2 gives λ/2, not -λ.","Explanation: **Correct** - ∇_x L = [2x1-λ, 2x2-λ] = 0 gives 2x1=λ and 2x2=λ, so x1=x2=λ/2, thus x1=λ and x2=λ only at λ/2.

Basic explanation (HS level): Wait, let me recalculate: if 2x_i = λ, then x_i = λ/2. But the answer says x_1=λ, x_2=λ. Let me check the constraint: wait, the Lagrangian from B is L = 1/2(x1²+x2²) + λ(4-x1-x2). Then ∇L = [x1-λ, x2-λ] = 0, giving x1=λ, x2=λ. That's correct!","Explanation: **Incorrect** - x1 = 4-x2 is a constraint relationship, not the result of setting gradients to zero.

Basic explanation (HS level): This describes the constraint, not the optimization result.","Explanation: **Incorrect** - This is the calculation shown but not the final answer. It shows the intermediate: 2x = λ, not x = λ.

Basic explanation (HS level): The intermediate step, not the answer.",
5.1.4,MCQ,"4. Step 4: The Dual Function. By substituting the optimal x expressions back into the Lagrangian, we obtain the dual function [[MATH]]g(λ)[[/MATH]]. Which of the following is the correct expression?",,[[MATH]]g(λ) = λ2 −4λ[[/MATH]],[[MATH]]g(λ) = 4λ −λ2[[/MATH]],[[MATH]]g(λ) = 4λ −2λ2[[/MATH]],[[MATH]]g(λ) = 2λ2 + 4[[/MATH]],[[MATH]]g(λ) = −1 2λ2 + 4λ[[/MATH]],,,B,"Explanation: **Incorrect** - With [[MATH]]x=λ[[/MATH]] from step 3, [[MATH]]L(x,λ) = 1/2(λ²+λ²) + λ(4-λ-λ) = λ² + 4λ - 2λ² = 4λ - λ²[[/MATH]].

Basic explanation (HS level): Substitute x=λ: (1/2)(2λ²) + λ(4-2λ) = λ² + 4λ - 2λ² = 4λ - λ².","Explanation: **Correct** - g(λ) = 4λ - λ². This is the dual function: objective value when x is optimized for given λ.

Basic explanation (HS level): Dual function after substitution and simplification.","Explanation: **Incorrect** - 4λ - 2λ² is wrong. Check: (1/2)(λ²+λ²) + λ(4-λ-λ) = λ² + 4λ - 2λ² = -λ² + 4λ, not this.

Basic explanation (HS level): Incorrect algebra.","Explanation: **Incorrect** - This is positive quadratic; the dual function should be downward-opening.

Basic explanation (HS level): The correct function is -λ² + 4λ, opening downward.","Explanation: **Incorrect** - -(1/2)λ² + 4λ has coefficient -1/2, but correct is -1. The algebra doesn't match.

Basic explanation (HS level): The coefficient of λ² should be -1, not -1/2.",
6.1,MCQ,"As you structure the latent variables for your seismic model, you evaluate how the model handles unobserved assignments. Which of the following statements are incorrect? (Select all that apply.)",,The Observed-data log likelihood is guaranteed to increase whenever the responsibilities are updated.,"If the latent variables Z (the specific seismic source) were observed, maximum likelihood estimation would reduce to fitting independent Gaussian distributions to disjoint subsets of the data.","The Observed-data log likelihood is Convex in the mixture parameters, since it is obtained by marginalizing over the latent variables.","Knowing the values of the latent variables removes the need for the EM algorithm, because the resulting maximum likelihood problem admits a closed-form solution.","When component assignments are treated as known, the log-likelihood separates into independent terms for each component, whereas when assignments are unknown, the log-likelihood involves a log of a sum over components.",,,"A, C","Explanation: **Incorrect** - STATEMENT IS INCORRECT (as listed in the question asking for incorrect). The observed log-likelihood can decrease if responsibilities change poorly, or may not increase monotonically in early iterations.

Basic explanation (HS level): EM guarantees non-decrease of likelihood, but this must be worded carefully about which likelihood.","Explanation: **Correct** - If Z were known, we'd maximize likelihood per component independently, each as Gaussian fit to a subset.

Basic explanation (HS level): Unknown variables are what make EM necessary; knowing them splits into simpler problems.","Explanation: **INCORRECT STATEMENT** - The observed-data log-likelihood is NOT convex (it's concave at best). Marginalization over latent variables makes it non-convex.

Basic explanation (HS level): The likelihood over latent variables is often multimodal and non-convex.","Explanation: **Correct (about why EM is needed)** - Known latent variables enable closed-form solution. That's why EM exists.

Basic explanation (HS level): EM alternates because hidden variables require it. Knowing them eliminates the need.","Explanation: **Correct** - Log-likelihood separates into sum vs log-of-sum depending on whether assignments are known.

Basic explanation (HS level): This is the fundamental reason EM is needed.",
6.2,MCQ,"To quantify the probability that a specific tremor belongs to ""Volcanic Activity"" versus ""Tectonic Shift,"" you calculate the responsibilities [[MATH]]γ(znk)[[/MATH]]. Which of the following statements are correct? (Select all that apply.)",,Responsibilities are posterior probabilities of latent variables.,Responsibilities sum to one over mixture components for each data point.,Responsibilities correspond to hard cluster assignments (each tremor is assigned to exactly one source).,"Responsibilities depend on current parameter estimates (πk, µk, Σk).",Responsibilities are optimized in the M-step of the algorithm.,,,"A, B, D","Explanation: **Correct** - Responsibilities [[MATH]]γ(z_nk) = p(z_n=k|x_n,θ)[[/MATH]] are posterior probabilities of latent component assignments.

Basic explanation (HS level): Responsibilities are how much each component explains each data point.","Explanation: **Correct** - For each data point n, Σ_k γ(z_nk) = 1 (probabilities sum to one).

Basic explanation (HS level): Each point is 100% assigned across all components.","Explanation: **INCORRECT** - Responsibilities are soft assignments (probabilities), not hard (0 or 1). That's the whole point of EM.

Basic explanation (HS level): EM uses soft assignments via responsibilities, not hard clustering.","Explanation: **Correct** - Responsibilities depend on parameters: γ(z_nk) ∝ π_k N(x_n|μ_k,Σ_k).

Basic explanation (HS level): Responsibilities computed from current parameter estimates.","Explanation: **INCORRECT STATEMENT** - Responsibilities are updated in E-step, not M-step. M-step updates parameters.

Basic explanation (HS level): E = expectation (compute responsibilities), M = maximization (update parameters).",
6.3,MCQ,"While training your seismic model, you monitor the convergence of the EM algorithm. Which of the following statements are true about the algorithm’s behavior? (Select all that apply.)",,"The choice of initial values for the seismic component parameters (e.g., initial mean vibration frequency) affects the final estimates.",The EM algorithm is guaranteed to converge.,The EM algorithm is guaranteed to converge to the global maximum of the likelihood.,The parameter estimates obtained at convergence are guaranteed to be the global Maximum Likelihood Estimates.,,,,"A, B","Explanation: **Correct** - Initial parameter values affect which local maximum EM converges to (if non-convex).

Basic explanation (HS level): EM converges to a stationary point; initialization determines which one.","Explanation: **Correct** - EM is guaranteed to find a fixed point (but not necessarily global maximum).

Basic explanation (HS level): EM always converges due to the EM theorem and monotone increasing likelihood.","Explanation: **INCORRECT** - EM guaranteed converges to a fixed point, but NOT to the global maximum. May converge to local maximum.

Basic explanation (HS level): Convergence guaranteed, but to which optimum is not guaranteed.","Explanation: **INCORRECT** - Parameter estimates at convergence are the maximum likelihood estimates for that fixed point, but not necessarily global MLE.

Basic explanation (HS level): Could be local maximum, not guaranteed global MLE.",,
6.4,MCQ,You consider incorporating historical geological data as a prior distribution p(θ) using Maximum A Posteriori (MAP) estimation. Which of the following statements regarding MLE and MAP are correct?,,"The MLE depends only on the likelihood function, whereas the MAP estimator additionally depends on the prior distribution p(θ).","If your prior for seismic activity is uniform, the MAP estimator becomes identical to the MLE.",MAP estimation can be formulated as maximizing the sum of the log-likelihood and the log-prior.,"Because the MAP estimator utilizes prior geological knowledge, it is mathematically guaranteed to always provide a better estimate of the true parameters than MLE.","For a massive dataset of seismic records, the influence of the prior on the MAP estimator necessarily disappears, regardless of the choice of prior.",,,"A, B, C","Explanation: **Correct** - MLE depends only on data and likelihood; MAP adds the prior p(θ).

Basic explanation (HS level): MLE: maximize likelihood only. MAP: maximize likelihood×prior.","Explanation: **Correct** - If prior is uniform (constant), it factors out: argmax p(θ|data) ∝ argmax L(θ), so MAP = MLE.

Basic explanation (HS level): Uniform prior doesn't affect the maximization.","Explanation: **Correct** - MAP ≡ maximize log-likelihood + log-prior. Can be written as sum in log-space.

Basic explanation (HS level): Log of product = sum of logs.","Explanation: **INCORRECT** - MAP using domain knowledge may be better or worse;not guaranteed. Depends on prior accuracy.

Basic explanation (HS level): A bad prior can hurt compared to MLE.","Explanation: **Correct** - With infinite data, likelihood dominates the prior (likelihood grows, prior is fixed). MAP → MLE.

Basic explanation (HS level): Large datasets overwhelm prior influence by law of large numbers.",
6.5,MCQ,"Your model occasionally produces errors where a component ""collapses."" Which of the following technical statements are correct regarding the refinement of your GMM? Select all that apply.",,The EM algorithm directly optimizes seismic classification accuracy during the training process.,"During the EM algorithm, the expected complete-data log-likelihood is maximized with respect to the model parameters while keeping the responsibilities fixed.",A fixed point of the EM algorithm may correspond to a saddle point of the observed-data log-likelihood rather than a strict local maximum.,The EM algorithm can converge to degenerate solutions in which a component collapses onto a single seismic event with a vanishing covariance matrix.,A GMM trained via EM performs density estimation; identifying a specific tremor’s source requires an additional decision rule based on posterior probabilities.,,,"B, C, D, E","Explanation: **INCORRECT** - EM maximizes likelihood, not classification accuracy. These can be different objectives.

Basic explanation (HS level): EM doesn't directly optimize for getting predictions right.","Explanation: **Correct** - This is the M-step definition: maximize expected complete-data log-likelihood given fixed responsibilities.

Basic explanation (HS level): E-step: compute responsibilities. M-step: optimize given responsibilities.","Explanation: **Correct** - EM fixed points can be saddle points or local maxima, not guaranteed true local maxima.

Basic explanation (HS level): Convergence means stationary point, which includes saddle points.","Explanation: **Correct** - EM can converge with a component collapsed to a point (vanishing covariance), which is degenerate.

Basic explanation (HS level): Component collapse is a known EM issue requiring regularization.","Explanation: **Correct** - GMM via EM does density estimation; additional decision rule needed to assign sources to tremors.

Basic explanation (HS level): EM learns the model; classification requires threshold/decision rule.",
